school_id,school_name,country,admin1,admin2,lat,lon,urban_rural,sector,enrollment,altitude_m
70,ESCUELA VALLE DE ESQUINA,CL,AYP,CAMARONES,-18.93622,-69.530159,Rural,,12,
72,LICEO VALLE DE CODPA,CL,AYP,CAMARONES,-18.832899,-69.744583,Rural,,78,
73,ESCUELA VALLE DE COBIJA,CL,AYP,CAMARONES,-18.739889,-69.583237,Rural,,1,
74,ESCUELA VALLE DE CAMARONES,CL,AYP,CAMARONES,-19.00992,-69.860138,Rural,,20,
75,ESCUELA VALLE DE GUANACAGUA,CL,AYP,CAMARONES,-18.81953,-69.709549,Rural,,2,
76,ESCUELA VALLE DE CUYA,CL,AYP,CAMARONES,-19.16044,-70.179573,Rural,,5,
78,LICEO GRANADEROS,CL,AYP,PUTRE,-18.19582,-69.561928,Rural,,222,
79,ESCUELA EL MARQUEZ,CL,AYP,PUTRE,-18.580721,-69.493759,Rural,,9,
81,ESCUELA PAYACHATAS,CL,AYP,PUTRE,-18.054399,-69.201012,Rural,,6,
82,ESCUELA SAN FRANCISCO DE ASIS,CL,AYP,PUTRE,-18.26881,-69.597023,Rural,,2,
83,ESCUELA COTA COTANI,CL,AYP,PUTRE,-18.200001,-69.266701,Rural,,0,
84,ESCUELA LOS ALAMOS,CL,AYP,PUTRE,-18.19635,-69.559219,Rural,,4,
86,ESCUELA SAN SANTIAGO DE BELEN,CL,AYP,PUTRE,-18.467779,-69.514893,Rural,,4,
87,ESCUELA ANCOLACANE,CL,AYP,GENERAL LAGOS,-17.854719,-69.606133,Rural,,3,
88,ESCUELA ALCERRECA,CL,AYP,GENERAL LAGOS,-17.994341,-69.705887,Rural,,0,
89,ESCUELA HUMAPALCA,CL,AYP,GENERAL LAGOS,-17.834391,-69.702782,Rural,,4,
90,ESCUELA INTERNADO VISVIRI,CL,AYP,GENERAL LAGOS,-17.594879,-69.481163,Rural,,60,
91,ESCUELA COSAPILLA,CL,AYP,GENERAL LAGOS,-17.76635,-69.421242,Rural,,3,
92,ESCUELA CHISLLUMA,CL,AYP,GENERAL LAGOS,-17.69677,-69.688301,Rural,,4,
93,ESCUELA CHUJLLUTA,CL,AYP,GENERAL LAGOS,-17.89942,-69.349213,Rural,,3,
94,ESCUELA GUACOYO,CL,AYP,GENERAL LAGOS,-17.76013,-69.344948,Rural,,8,
95,ESCUELA COLPITAS,CL,AYP,GENERAL LAGOS,-17.95694,-69.453629,Rural,,0,
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,CL,TPCA,IQUIQUE,-20.220369,-70.153061,Urbano,,610,
98,CENTRO DE DIAGNOSTICO,CL,TPCA,IQUIQUE,,,Urbano,Privado,0,
100,ESCUELA,CL,TPCA,IQUIQUE,,,Urbano,,0,
101,HOGAR ESTUDIANTIL,CL,TPCA,IQUIQUE,,,Urbano,,0,
102,ESC.EDUC.ESPECIAL FLOR DEL INCA,CL,TPCA,IQUIQUE,-20.24097252,-70.13935089,Urbano,,194,
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,CL,TPCA,IQUIQUE,-20.22109604,-70.13816833,Urbano,,484,
105,CENTRO DE CAPACITACION LABORAL,CL,TPCA,IQUIQUE,-20.24172211,-70.13650513,Urbano,,86,
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,CL,TPCA,IQUIQUE,-20.293949,-70.127777,Urbano,,679,
107,LICEO LIBERT. GRAL.BERNARDO OÂ´HIGGINS,CL,TPCA,IQUIQUE,-20.21981,-70.153313,Urbano,,722,
